,city,tmpd,dptp,date,pm25tmean2,pm10tmean2,o3tmean2,no2tmean2
0,chic,31.5,31.5,1987-01-01,,34.0,4.25,19.988095238
1,chic,33.0,29.875,1987-01-02,,,3.3043478261,23.190993789
2,chic,33.0,27.375,1987-01-03,,34.166666667,3.3333333333,23.81547619
3,chic,29.0,28.625,1987-01-04,,47.0,4.375,30.43452381
4,chic,32.0,28.875,1987-01-05,,,4.75,30.333333333
5,chic,40.0,35.125,1987-01-06,,48.0,5.8333333333,25.772330671
6,chic,34.5,26.75,1987-01-07,,41.0,9.2916666667,20.581709957
7,chic,29.0,22.0,1987-01-08,,36.0,11.291666667,17.037230861
8,chic,26.5,29.0,1987-01-09,,33.285714286,4.5,23.388888889
9,chic,32.5,27.75,1987-01-10,,,4.9583333333,19.541666667
10,chic,29.5,20.125,1987-01-11,,22.0,17.541666667,13.701388889
11,chic,34.5,26.0,1987-01-12,,26.0,8.0,33.020833333
12,chic,34.0,32.25,1987-01-13,,53.0,4.9583333333,38.061417749
13,chic,37.5,36.375,1987-01-14,,43.0,4.2083333333,32.194444444
14,chic,32.5,24.25,1987-01-15,,28.833333333,4.4583333333,18.871309524
15,chic,25.0,21.5,1987-01-16,,19.0,7.9166666667,19.466666667
16,chic,27.0,24.75,1987-01-17,,,5.8333333333,20.708333333
17,chic,17.5,11.125,1987-01-18,,39.0,6.375,21.033333333
18,chic,23.0,15.75,1987-01-19,,32.0,14.875,17.174094203
19,chic,20.5,11.5,1987-01-20,,38.0,7.25,21.610210804
20,chic,22.0,20.625,1987-01-21,,32.857142857,8.9130434783,24.520833333
21,chic,19.5,7.375,1987-01-22,,52.0,10.5,16.987977602
22,chic,2.5,-12.25,1987-01-23,,55.0,14.625,14.6625
23,chic,2.0,-5.625,1987-01-24,,38.0,10.083333333,18.691666667
24,chic,9.5,-5.25,1987-01-25,,,6.6666666667,26.304166667
25,chic,16.0,4.75,1987-01-26,,71.0,4.5833333333,32.421428571
26,chic,17.5,17.75,1987-01-27,,39.333333333,6.0,30.693055556
27,chic,29.5,18.25,1987-01-28,,47.0,6.875,29.129428341
28,chic,29.5,32.875,1987-01-29,,35.0,2.9166666667,28.145289855
29,chic,32.5,24.125,1987-01-30,,59.0,8.7916666667,19.798611111
30,chic,27.5,26.5,1987-01-31,,36.0,10.375,25.267361111
31,chic,41.0,32.25,1987-02-01,,,8.0416666667,21.701388889
32,chic,36.5,34.0,1987-02-02,,41.166666667,6.0416666667,30.784722222
33,chic,34.0,26.25,1987-02-03,,59.0,8.0416666667,20.14614899
34,chic,31.5,24.25,1987-02-04,,37.0,10.5,29.999275362
35,chic,29.5,27.25,1987-02-05,,70.0,5.7291666667,38.909090909
36,chic,37.0,30.375,1987-02-06,,63.0,6.4148550725,27.994708995
37,chic,40.5,35.75,1987-02-07,,44.0,5.75,25.090277778
38,chic,32.5,3.5,1987-02-08,,18.25,24.9375,10.646825397
39,chic,24.5,17.375,1987-02-09,,42.0,9.2083333333,25.579861111
40,chic,35.0,27.375,1987-02-10,,36.0,8.3125,31.327459376
41,chic,39.5,29.375,1987-02-11,,83.0,8.121541502,42.001125384
42,chic,34.0,24.75,1987-02-12,,84.0,7.6875,34.993055556
43,chic,34.5,30.875,1987-02-13,,39.0,10.369565217,33.430857488
44,chic,31.5,22.0,1987-02-14,,24.857142857,11.166666667,21.243055556
45,chic,23.5,10.125,1987-02-15,,12.0,28.104166667,10.490972222
46,chic,24.0,18.125,1987-02-16,,14.0,24.1875,15.854166667
47,chic,31.5,20.25,1987-02-17,,23.0,24.9375,19.180555556
48,chic,31.5,20.0,1987-02-18,,27.0,24.170289855,29.860119048
49,chic,34.0,19.625,1987-02-19,,49.0,15.501811594,44.480676329
50,chic,32.5,17.0,1987-02-20,,69.857142857,8.5,51.253246753
51,chic,38.0,24.5,1987-02-21,,59.0,4.5833333333,41.381944444
52,chic,35.5,25.125,1987-02-22,,46.0,10.833333333,21.861111111
53,chic,35.5,24.75,1987-02-23,,47.0,13.041666667,32.5625
54,chic,31.5,25.25,1987-02-24,,48.0,13.229166667,36.477437418
55,chic,34.5,21.875,1987-02-25,,48.0,17.125,38.13771645
56,chic,36.0,18.5,1987-02-26,,29.0,16.0,32.854166667
57,chic,39.5,28.25,1987-02-27,,56.0,14.208333333,33.691964286
58,chic,40.0,38.375,1987-02-28,,31.0,6.875,23.458333333
59,chic,39.0,28.375,1987-03-01,,15.0,15.620833333,18.614583333
60,chic,41.0,27.875,1987-03-02,,36.0,20.8125,21.631944444
61,chic,36.5,14.875,1987-03-03,,32.0,19.75,28.578208429
62,chic,38.0,26.75,1987-03-04,,39.428571429,5.5,38.409722222
63,chic,44.0,34.375,1987-03-05,,30.0,13.583333333,29.388888889
64,chic,48.5,39.5,1987-03-06,,76.0,9.0760869565,47.169987923
65,chic,59.5,36.875,1987-03-07,,49.0,25.416666667,41.743055556
66,chic,54.5,33.625,1987-03-08,,61.0,31.166666667,39.045138889
67,chic,31.0,14.0,1987-03-09,,25.0,29.833333333,12.469381313
68,chic,25.5,13.625,1987-03-10,,19.571428571,28.375,19.747163358
69,chic,28.5,17.0,1987-03-11,,38.0,19.770833333,29.906099034
70,chic,33.5,22.375,1987-03-12,,72.0,20.4375,41.127525253
71,chic,34.0,33.125,1987-03-13,,47.0,22.479166667,31.555555556
72,chic,37.0,33.0,1987-03-14,,49.0,17.729166667,27.652777778
73,chic,35.0,24.5,1987-03-15,,,36.895833333,18.034722222
74,chic,37.5,17.875,1987-03-16,,27.0,36.372282609,22.423611111
75,chic,38.5,19.375,1987-03-17,,55.0,27.8125,25.986111111
76,chic,39.5,30.25,1987-03-18,,63.0,18.666666667,32.207799145
77,chic,41.5,26.125,1987-03-19,,32.0,31.675595238,33.296014493
78,chic,43.0,16.625,1987-03-20,,28.0,36.625,45.958333333
79,chic,43.5,22.5,1987-03-21,,40.0,38.208333333,43.90307971
80,chic,48.0,32.375,1987-03-22,,37.857142857,37.666666667,36.239583333
81,chic,53.5,35.25,1987-03-23,,70.0,31.454166667,33.738647343
82,chic,57.5,46.125,1987-03-24,,58.0,25.625,30.555555556
83,chic,45.0,40.125,1987-03-25,,14.0,14.875,23.204545455
84,chic,45.0,40.25,1987-03-26,,43.0,15.117424242,23.493686869
85,chic,43.0,38.5,1987-03-27,,47.0,16.4375,32.315025253
86,chic,46.0,35.0,1987-03-28,,34.5,20.104166667,31.180555556
87,chic,39.5,30.125,1987-03-29,,37.0,20.972222222,22.340277778
88,chic,29.0,12.875,1987-03-30,,27.0,30.4375,19.655676329
89,chic,30.0,19.0,1987-03-31,,43.0,24.044871795,24.611111111
90,chic,41.5,22.875,1987-04-01,,36.0,21.453125,19.298611111
91,chic,29.5,14.625,1987-04-02,,44.0,22.566349638,22.036533816
92,chic,28.0,17.375,1987-04-03,,22.428571429,16.869791667,35.481432597
93,chic,35.5,17.125,1987-04-04,,26.0,28.390625,21.28125
94,chic,43.5,33.0,1987-04-05,,18.0,36.03125,12.190972222
95,chic,50.0,21.25,1987-04-06,,19.0,31.802083333,19.855744949
96,chic,49.5,30.875,1987-04-07,,28.0,25.494791667,28.246212121
97,chic,40.0,31.375,1987-04-08,,19.0,21.010416667,28.991243961
98,chic,50.0,28.5,1987-04-09,,78.285714286,15.401041667,57.525422705
99,chic,59.5,44.875,1987-04-10,,69.0,21.859375,39.354166667
100,chic,51.0,45.625,1987-04-11,,24.0,28.973958333,23.145833333
101,chic,49.5,43.125,1987-04-12,,37.0,25.678571429,26.020833333
102,chic,48.0,47.25,1987-04-13,,47.0,17.767857143,37.932449495
103,chic,52.5,51.5,1987-04-14,,33.0,13.244047619,35.722222222
104,chic,51.5,50.125,1987-04-15,,30.0,17.142857143,32.020064778
105,chic,54.0,49.25,1987-04-16,,28.0,22.107142857,30.75
106,chic,57.5,47.0,1987-04-17,,43.0,19.30952381,44.208333333
107,chic,61.5,49.875,1987-04-18,,106.0,31.529761905,55.416666667
108,chic,64.0,53.0,1987-04-19,,,32.839285714,45.159722222
109,chic,71.0,55.75,1987-04-20,,55.0,41.390625,40.534722222
110,chic,56.0,39.0,1987-04-21,,36.2,20.46875,19.177838164
111,chic,47.0,45.625,1987-04-22,,28.0,9.078125,23.234217172
112,chic,52.0,43.75,1987-04-23,,26.0,10.094655797,23.493055556
113,chic,49.0,30.75,1987-04-24,,16.0,27.572916667,20.661156401
114,chic,51.0,32.5,1987-04-25,,30.0,28.0625,27.766666667
115,chic,57.0,33.875,1987-04-26,,58.0,33.145833333,33.458333333
116,chic,56.5,31.625,1987-04-27,,37.333333333,35.927604167,27.052083333
117,chic,53.5,28.625,1987-04-28,,72.0,22.645833333,32.036533816
118,chic,64.5,34.625,1987-04-29,,61.0,34.852272727,24.106060606
119,chic,46.0,16.625,1987-04-30,,19.0,35.489583333,18.320571789
120,chic,53.5,39.0,1987-05-01,,66.0,19.561594203,45.944444444
121,chic,53.0,47.375,1987-05-02,,30.0,24.18452381,31.508333333
122,chic,45.0,35.0,1987-05-03,,20.285714286,27.202380952,22.116666667
123,chic,48.0,29.375,1987-05-04,,26.0,31.224358974,23.026175214
124,chic,50.5,32.625,1987-05-05,,60.0,23.4375,39.609217172
125,chic,58.0,40.125,1987-05-06,,,32.370573946,51.285353535
126,chic,59.5,40.875,1987-05-07,,41.0,30.189311594,29.518280632
